capsule_id,scaffold,annotation_agent_run_id,public_agent_run_id,canonical_public_id,annotation_accuracy,public_accuracy,score_changed,public_url,api_url
capsule-4671827,"Core Agent (anthropic/claude-opus-4-5, steps=200)",436f2709-62fd-4f9f-b168-87cbfa4f37d6,67dbe704-881b-4488-ba41-fdf7f379c707,docent:f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7:67dbe704-881b-4488-ba41-fdf7f379c707,1,1,false,https://docent.transluce.org/dashboard/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run/67dbe704-881b-4488-ba41-fdf7f379c707,https://api.docent.transluce.org/rest/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run?agent_run_id=67dbe704-881b-4488-ba41-fdf7f379c707
capsule-4671827,"Core Agent (anthropic/claude-opus-4-6, steps=200)",124c25f5-ac25-4b0e-84c1-0e7fc76d1322,220e3ad5-7190-45c5-ad72-63f22e2e7b03,docent:f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7:220e3ad5-7190-45c5-ad72-63f22e2e7b03,1,1,false,https://docent.transluce.org/dashboard/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run/220e3ad5-7190-45c5-ad72-63f22e2e7b03,https://api.docent.transluce.org/rest/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run?agent_run_id=220e3ad5-7190-45c5-ad72-63f22e2e7b03
capsule-4671827,"Core Agent (gpt-5.4, steps=200)",4df79b19-70e0-4191-985d-778879dc245b,f2cd8b36-033e-40b6-bd8b-e2ae25ff6581,docent:f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7:f2cd8b36-033e-40b6-bd8b-e2ae25ff6581,0,0,false,https://docent.transluce.org/dashboard/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run/f2cd8b36-033e-40b6-bd8b-e2ae25ff6581,https://api.docent.transluce.org/rest/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run?agent_run_id=f2cd8b36-033e-40b6-bd8b-e2ae25ff6581
capsule-4671827,"Open Code (anthropic/claude-opus-4-5, think=10000)",11d2dd95-551c-4a0d-b971-189c7788b7d6,182e083c-0fcb-42fd-bb70-545651e6dca4,docent:f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7:182e083c-0fcb-42fd-bb70-545651e6dca4,1,1,false,https://docent.transluce.org/dashboard/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run/182e083c-0fcb-42fd-bb70-545651e6dca4,https://api.docent.transluce.org/rest/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run?agent_run_id=182e083c-0fcb-42fd-bb70-545651e6dca4
capsule-4671827,Open Code (anthropic/claude-opus-4-6),76438882-bd7f-4538-a3ca-49b9c04dc262,a3fc3e99-50bd-4672-a48c-624bd5d5e13f,docent:f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7:a3fc3e99-50bd-4672-a48c-624bd5d5e13f,1,1,false,https://docent.transluce.org/dashboard/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run/a3fc3e99-50bd-4672-a48c-624bd5d5e13f,https://api.docent.transluce.org/rest/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run?agent_run_id=a3fc3e99-50bd-4672-a48c-624bd5d5e13f
capsule-4671827,"Open Code (openai/gpt-5.4, re=high)",91845820-b981-4e08-ab28-90847ed374bb,8d2d03b1-c180-4012-9943-19587ab30f78,docent:f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7:8d2d03b1-c180-4012-9943-19587ab30f78,1,1,false,https://docent.transluce.org/dashboard/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run/8d2d03b1-c180-4012-9943-19587ab30f78,https://api.docent.transluce.org/rest/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run?agent_run_id=8d2d03b1-c180-4012-9943-19587ab30f78
capsule-4933686,"Claude Code (anthropic/claude-opus-4-5, think=10000)",e9205b95-3956-4295-8493-98b1930ba68d,2db3d6c3-90ac-4cbd-98f1-31e0ddafce4b,docent:f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7:2db3d6c3-90ac-4cbd-98f1-31e0ddafce4b,1,1,false,https://docent.transluce.org/dashboard/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run/2db3d6c3-90ac-4cbd-98f1-31e0ddafce4b,https://api.docent.transluce.org/rest/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run?agent_run_id=2db3d6c3-90ac-4cbd-98f1-31e0ddafce4b
capsule-4933686,Claude Code (anthropic/claude-opus-4-6),f7bde116-5ac1-4c94-801d-d8a66ca9f300,e0a6d0fd-dd19-46fe-8385-2214dcc16cd6,docent:f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7:e0a6d0fd-dd19-46fe-8385-2214dcc16cd6,1,1,false,https://docent.transluce.org/dashboard/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run/e0a6d0fd-dd19-46fe-8385-2214dcc16cd6,https://api.docent.transluce.org/rest/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run?agent_run_id=e0a6d0fd-dd19-46fe-8385-2214dcc16cd6
capsule-4933686,"Codex Agent (gpt-5.4, re=high)",cf83f054-1efb-4c59-8f2b-803bbabbb377,5df4f458-0202-4d9c-ac72-f7d917c630d4,docent:f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7:5df4f458-0202-4d9c-ac72-f7d917c630d4,1,1,false,https://docent.transluce.org/dashboard/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run/5df4f458-0202-4d9c-ac72-f7d917c630d4,https://api.docent.transluce.org/rest/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run?agent_run_id=5df4f458-0202-4d9c-ac72-f7d917c630d4
capsule-4933686,"Codex Agent (gpt-5.4, re=medium)",326ee62a-4133-4d10-a73e-d73b25f46755,df7e534c-c1ed-4c04-93d5-05d7b74bb3c7,docent:f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7:df7e534c-c1ed-4c04-93d5-05d7b74bb3c7,1,1,false,https://docent.transluce.org/dashboard/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run/df7e534c-c1ed-4c04-93d5-05d7b74bb3c7,https://api.docent.transluce.org/rest/f739ce50-eec8-4d8e-86b3-2c3dd9f42ab7/agent_run?agent_run_id=df7e534c-c1ed-4c04-93d5-05d7b74bb3c7
